Year,Month,Themes in the Picture,Climate Change Related? (Y/N),Binary,Relatad to Environment? (Y/N),Binary,Quantity (Parts Per Million),Percent
2023,1,Human Exploration,N,0,N,0,419.48,0.31
2023,2,Art,N,0,N,0,420.3,0.24
2023,3,cultural relics,N,0,N,0,420.98,0.52
2023,4,"Population growth, earth",N,0,N,0,423.36,0.74
2023,5,"Elephant, animal",N,0,N,0,424,0.71
2023,6,"Mountain, forest, natural view",N,0,N,0,.,.
2023,7,Human Exploration,N,0,N,0,.,.
2023,8,"Arctic, ice sheets",Y,1,Y,1,.,.
2023,9,architecture,N,0,N,0,.,.
2023,10,"space, universe",N,0,N,0,.,.
2023,11,.,.,.,.,.,.,.
2023,12,.,.,.,.,.,.,.
2022,1,Recap of the pandemic,N,0,N,0,418.19,0.64
2022,2,Architecture,N,0,N,0,419.28,0.61
2022,3,Human Exploration,N,0,N,0,418.81,0.28
2022,4,Human Exploration,N,0,N,0,420.23,0.28
2022,5,Deforestation,Y,1,Y,1,420.99,0.44
2022,6,"Human connection, Children, Birth",N,0,N,0,420.99,0.49
2022,7,"Indigenous people, indigenous land",N,0,N,0,418.9,0.47
2022,8,"Archaeology, Historical Sites",N,0,N,0,417.19,0.66
2022,9,"Natural Landscape, American Land",N,0,N,0,415.95,0.64
2022,10,Cat,N,0,N,0,415.78,0.45
2022,11,Egyptian Pharoh ,N,0,N,0,417.51,0.6
2022,12,Wasted land,Y,1,Y,1,418.95,0.54
2021,1,"revolution, art, architecture",N,0,N,0,415.52,0.46
2021,2,"virus, biology",N,0,N,0,416.75,0.58
2021,3,"space, universe",N,0,N,0,417.64,0.7
2021,4,air pollution,Y,1,Y,1,419.05,0.62
2021,5,"whales, animal",N,0,N,0,419.13,0.44
2021,6,"human portrait, history",N,0,N,0,418.94,0.56
2021,7,"Heat, tree plantation",Y,1,Y,1,416.96,0.56
2021,8,Human portrait,N,0,N,0,414.47,0.41
2021,9,"solar system, space, universe",N,0,N,0,413.3,0.43
2021,10,technology,N,0,N,0,413.93,0.59
2021,11,"art, cultural relics",N,0,N,0,415.01,0.46
2021,12,"animal, earth",N,0,N,0,416.71,0.59
2020,1,"Biology, human disease",N,0,N,0,413.61,0.63
2020,2,history,N,0,N,0,414.34,0.58
2020,3,cloth recycle,N,0,Y,1,414.74,0.62
2020,4,"earth, earth changes throughout time",Y,1,Y,1,416.45,0.7
2020,5,Insects,N,0,Y,1,417.31,0.59
2020,6,"Human portrait, history",N,0,N,0,416.6,0.59
2020,7,"Natural view, mountain",N,0,N,0,414.62,0.64
2020,8,"Human portrait, pandemic",N,0,N,0,412.78,0.63
2020,9,"Technology, robots",N,0,N,0,411.52,0.68
2020,10,"Dinosaur, history",N,0,N,0,411.51,0.68
2020,11,"Pandemic, human health",N,0,N,0,413.12,0.64
2020,12,"natural view, lake",N,0,Y,1,414.26,0.55
2019,1,Urban development; medicine,N,0,N,0,411.03,0.71
2019,2,Astronomy,N,0,N,0,411.96,0.84
2019,3,"Human goals, Natural Landscape",N,0,N,0,412.18,0.63
2019,4,"Medicine, medical advance",N,0,N,0,413.54,0.75
2019,5,"Artwork, Artist",N,0,N,0,414.86,0.83
2019,6,"Wildlife, Animals, Negative impacts of Tourtism",N,0,Y,1,414.16,0.77
2019,7,Space exploration,N,0,N,0,411.97,0.75
2019,8,"Sea level, Migration, Mother & Son, Changes",Y,1,Y,1,410.18,0.74
2019,9,"Artic, rise in temperatures, the planet",Y,1,Y,1,408.76,0.75
2019,10,"Rhino, Extinction",N,0,Y,1,408.75,0.63
2019,11,"females, female empowerment",N,0,N,0,410.48,0.56
2019,12,"Archaeology, Historical Sites",N,0,N,0,411.98,0.66
2018,1,"Bird, animal",N,0,N,0,408.15,0.44
2018,2,"Space, technology",N,0,N,0,408.52,0.46
2018,3,"Human portrait, space",N,0,N,0,409.59,0.5
2018,4,"Human portrait, social issue",N,0,N,0,410.45,0.3
2018,5,"Art, human portrait",N,0,N,0,411.44,0.38
2018,6,"Glacier, arctic",Y,1,Y,1,410.99,0.47
2018,7,"Human portrait, sports",N,0,N,0,408.9,0.39
2018,8,"Human portrait, health, sleep",N,0,N,0,407.16,0.45
2018,9,"Human portrait, health",N,0,N,0,405.71,0.53
2018,10,"Human portrait, animal, culture",N,0,N,0,406.19,0.59
2018,11,"Natural view, human portrait, horse",N,0,N,0,408.21,0.72
2018,12,cultural relics,N,0,N,0,409.27,0.56
2017,1,"Human portrait, social issue",N,0,N,0,406.36,0.9
2017,2,"Ocean, animal",N,0,Y,1,406.66,0.6
2017,3,"Human portrait, history, culture",N,0,N,0,407.54,0.61
2017,4,"AI, technology, robot",N,0,N,0,409.22,0.4
2017,5,"Human portrait, science",N,0,N,0,409.89,0.49
2017,6,"text, science, phycology",N,0,N,0,409.08,0.51
2017,7,"Ocean, antarctica",N,0,Y,1,407.33,0.68
2017,8,"Space, universe",N,0,N,0,405.32,0.71
2017,9,"Human health, science, biology",N,0,N,0,403.57,0.58
2017,10,Human portrait,N,0,N,0,403.82,0.51
2017,11,"Natural view, waterfall",N,0,N,0,405.31,0.39
2017,12,"Human portrait, art, religion",N,0,N,0,407,0.58
2016,1,Animals,N,0,N,0,402.73,0.64
2016,2,"Fruits, Vegetables",N,0,N,0,404.25,0.92
2016,3,"History, War, UK",N,0,N,0,405.06,0.83
2016,4,"Natural Landscape, Nature",N,0,Y,1,407.6,1.06
2016,5,"Natural Landscape, Nature",N,0,Y,1,407.9,0.93
2016,6,"Egpytian Treasure, Theft",N,0,N,0,406.99,1
2016,7,"Forensic science, Advancement in science",N,0,N,0,404.59,0.78
2016,8,"DNA Revolution, Scientific Advancement",N,0,N,0,402.45,0.84
2016,9,Medical advancement,N,0,N,0,401.23,0.86
2016,10,"Nature, Human environment interaction",N,0,Y,1,401.79,0.83
2016,11,Space exploration,N,0,N,0,403.72,0.86
2016,12,"Religion, Fatih",N,0,N,0,404.64,0.64
2015,1,"Art, history",N,0,N,0,400.18,0.54
2015,2,"Human portrait, health, history",N,0,N,0,400.55,0.57
2015,3,"Space, technology, science, space exploration",N,0,N,0,401.74,0.46
2015,4,"human portrait, history",N,0,N,0,403.34,0.46
2015,5,"Dolphin, animal",N,0,N,0,404.15,0.54
2015,6,"Plant, science",N,0,N,0,402.97,0.38
2015,7,"Space, technology",N,0,N,0,401.46,0.55
2015,8,"Human portrait, architecture, culture, religion",N,0,N,0,399.11,0.49
2015,9,"Ivory, crime",N,0,N,0,397.82,0.58
2015,10,"Science, biology, human portrait",N,0,N,0,398.49,0.59
2015,11,"Earth, climate",Y,1,Y,1,400.27,0.72
2015,12,"Art, cultural relics",N,0,N,0,402.06,0.75
2014,1,"Indigenous people, indigenous land",N,0,N,0,398.04,0.57
2014,2,"Neuroscience, ",N,0,N,0,398.27,0.31
2014,3,Space Exploration,N,0,N,0,399.91,0.57
2014,4,"Exotic pets, ",N,0,N,0,401.51,0.72
2014,5,Food,N,0,N,0,401.96,0.48
2014,6,"Animals, Heroism",N,0,N,0,401.43,0.66
2014,7,Space Exploration,N,0,N,0,399.27,0.44
2014,8,Monuments,N,0,N,0,397.18,0.45
2014,9,Roman Statues,N,0,N,0,395.54,0.46
2014,10,Prehistoric Creatures,N,0,N,0,396.16,0.57
2014,11,"Insects, Biology",N,0,N,0,397.4,0.52
2014,12,Food,N,0,N,0,399.08,0.52
2013,1,"Space, technology, human exploration",N,0,N,0,395.78,0.63
2013,2,"Architecture, history",N,0,N,0,397.03,0.76
2013,3,"Natural resources, fire, technology",N,0,N,0,397.66,0.78
2013,4,Extinct animals,N,0,Y,1,398.64,0.57
2013,5,"Human portrait, health",N,0,N,0,400.02,0.78
2013,6,"Human portrait, technology, human exploration",N,0,N,0,398.81,0.73
2013,7,"Solar system, space, universe",N,0,N,0,397.51,0.75
2013,8,"Food, health",N,0,N,0,395.39,0.71
2013,9,"Ocean, architecture, statue, rising sea",Y,1,Y,1,393.72,0.61
2013,10,"Human portrait, social issue",N,0,N,0,393.9,0.67
2013,11,"Human portrait, natural disaster",N,0,N,0,395.36,0.55
2013,12,"Human, animal, natural view",N,0,N,0,397.03,0.62
2012,1,"Human portrait, biology",N,0,N,0,393.31,0.46
2012,2,"Animal, biology",N,0,N,0,394.04,0.51
2012,3,"Art, history",N,0,N,0,394.59,0.46
2012,4,"Titanic, history",N,0,N,0,396.38,0.75
2012,5,History,N,0,N,0,396.93,0.64
2012,6,"Space, solar system",N,0,N,0,395.91,0.5
2012,7,"History, statue, architecutre",N,0,N,0,394.56,0.47
2012,8,"Human, animal, human exploration",N,0,N,0,392.59,0.58
2012,9,Natural disaster,N,0,Y,1,391.32,0.52
2012,10,"Ivory, crime, history",N,0,N,0,391.27,0.53
2012,11,"Geography, island",N,0,N,0,393.2,0.7
2012,12,"Human, natural view, tree",N,0,N,0,394.57,0.64
2011,1,"Urban, Population",N,0,N,0,391.5,0.67
2011,2,Historical landmark,N,0,N,0,392.05,0.42
2011,3,Animal,N,0,N,0,392.8,0.37
2011,4,"History, Archaeology, Historical Landmark",N,0,N,0,393.44,0.2
2011,5,"Natural Landmark, Nature",N,0,Y,1,394.41,0.31
2011,6,"Religion, Fatih",N,0,N,0,393.95,0.4
2011,7,"History, Historical Figures",N,0,N,0,392.72,0.59
2011,8,"Nature, Wildlife, Animals",N,0,Y,1,390.33,0.46
2011,9,Human advancement,N,0,N,0,389.28,0.58
2011,10,"Psychology, Neuroscience",N,0,N,0,389.19,0.45
2011,11,"War, History, Mystery",N,0,N,0,390.48,0.41
2011,12,Reglion,N,0,N,0,392.06,0.53
2010,1,"robot, ai, technology",N,0,N,0,388.91,0.45
2010,2,"Human portrait, culture, social issue",N,0,N,0,390.41,0.7
2010,3,"Animal, wolf",N,0,N,0,391.37,0.6
2010,4,"text, water, science",N,0,N,0,392.67,0.75
2010,5,"Natural disaster, volcano",N,0,N,0,393.21,0.73
2010,6,"Landscope, island, ice sheet",Y,1,Y,1,392.38,0.69
2010,7,"Archaeology, science",N,0,N,0,390.41,0.56
2010,8,"Natural view, human exploration",N,0,N,0,388.54,0.58
2010,9,"cultural relics, history",N,0,N,0,387.03,0.54
2010,10,Animal,N,0,N,0,387.43,0.73
2010,11,"Animal, natural view",N,0,N,0,388.87,0.68
2010,12,Art,N,0,N,0,389.99,0.61
2009,1,"Beauty, Gold",N,0,N,0,387.17,0.36
2009,2,"Evolution, Nature",N,0,Y,1,387.7,0.42
2009,3,Energy conservation,Y,1,Y,1,389.04,0.71
2009,4,"Egyptian history, Female empowerment",N,0,N,0,389.76,0.62
2009,5,"Prehistoric animals, Science",N,0,Y,1,390.36,0.41
2009,6,"Historical landmark, Religion",N,0,N,0,389.7,0.44
2009,7,"Ancient Civilization, Human Environment interaction",N,0,Y,1,388.24,0.42
2009,8,Natural geographic landamarks,N,0,Y,1,386.29,0.51
2009,9,"Urbanization, deforestation",N,0,Y,1,384.95,0.4
2009,10,"Nature, Wilderness",N,0,Y,1,384.64,0.37
2009,11,"Egyptian history, Animals",N,0,N,0,386.23,0.47
2009,12,Space exploration,N,0,N,0,387.63,0.48
2008,1,volcano,N,0,N,0,385.78,0.7
2008,2,"human portrait, history",N,0,N,0,386.06,0.51
2008,3,"God, animal, biology",N,0,N,0,386.28,0.38
2008,4,"Human, animal, natural view",N,0,N,0,387.34,0.16
2008,5,"cultural relics, text, history",N,0,N,0,388.78,0.52
2008,6,"Statues, architecture, history",N,0,N,0,387.99,0.43
2008,7,"Animal, gorillars",N,0,Y,1,386.61,0.49
2008,8,"cultural relics, History",N,0,N,0,384.32,0.54
2008,9,"Seed, agriculture",N,0,N,0,383.41,0.58
2008,10,"Human portrait, science, biology",N,0,N,0,383.21,0.48
2008,11,"City view, light pollution",N,0,Y,1,384.41,0.45
2008,12,"Architecture, history",N,0,N,0,385.79,0.42
2007,1,"Environmental Science, Volcanic Activity ",N,0,Y,1,383.1,0.4
2007,2,"Egyption history, human figures",N,0,N,0,384.12,0.45
2007,3,"Animals, Psycology, Neuroscience",N,0,N,0,384.81,0.51
